id,label
201d_1382,201d
015a_681,015a
0028_506,0028
005a_238,005a
0067_440,0067
017c_868,017c
0079_1364,0079
003b_753,003b
0038_2948,0038
015b_852,015b
0043_2544,0043
006d_674,006d
0035_1946,0035
0038_601,0038
0119_2200,0119
201e_166,201e
0029_2591,0029
0046_1496,0046
0144_2525,0144
0067_970,0067
0073_455,0073
0077_2801,0077
0062_1691,0062
007a_1541,007a
0064_1839,0064
0105_1565,0105
0038_1379,0038
006e_756,006e
0065_2099,0065
004f_1040,004f
0031_3000,0031
0050_729,0050
0036_2135,0036
0042_1703,0042
0072_1827,0072
006e_2189,006e
004e_54,004e
0068_1876,0068
015a_1039,015a
0067_1682,0067
006b_2453,006b
0073_1540,0073
007a_1563,007a
003d_717,003d
0037_1770,0037
0069_10,0069
0033_2801,0033
0033_693,0033
0053_1186,0053
0053_2021,0053
201e_2290,201e
006c_171,006c
0142_494,0142
0059_1049,0059
0061_1333,0061
0030_1816,0030
003f_2381,003f
0064_2381,0064
015a_230,015a
0053_2960,0053
003a_2108,003a
006e_2952,006e
0035_1043,0035
0066_1498,0066
0037_2529,0037
0044_1430,0044
004e_1704,004e
0068_254,0068
0067_2712,0067
0039_453,0039
0074_211,0074
0050_2060,0050
0075_1667,0075
0074_2939,0074
004b_279,004b
0030_1537,0030
0053_1122,0053
0030_2070,0030
002d_2805,002d
0041_2009,0041
00f3_2144,00f3
002c_358,002c
0066_1196,0066
0033_1132,0033
0045_2791,0045
0064_1347,0064
0053_2657,0053
0072_2077,0072
006d_2714,006d
0144_749,0144
0066_983,0066
0079_1170,0079
0053_516,0053
0079_2206,0079
003a_1922,003a
015a_885,015a
0072_1455,0072
015b_1899,015b
0030_2844,0030
0049_1503,0049
017c_610,017c
0073_399,0073
0065_2550,0065
007a_2548,007a
006e_1968,006e
0065_1782,0065
0144_2337,0144
006e_2266,006e
004c_2864,004c
0077_1867,0077
0142_658,0142
002d_2860,002d
007a_2137,007a
017a_2482,017a
006e_494,006e
017c_2716,017c
0052_2816,0052
004f_591,004f
0065_690,0065
00f3_2049,00f3
0064_1783,0064
0046_2610,0046
0021_459,0021
0049_938,0049
0048_2128,0048
002e_94,002e
0028_1632,0028
0073_504,0073
004b_424,004b
0075_2516,0075
0107_2651,0107
0044_2020,0044
0046_466,0046
0142_1829,0142
0032_1855,0032
0055_1958,0055
006f_1092,006f
0142_2787,0142
004e_159,004e
0045_1031,0045
0047_2279,0047
0044_2540,0044
004f_1940,004f
0144_2081,0144
005a_523,005a
0063_2749,0063
0079_2220,0079
004f_588,004f
004e_1913,004e
0142_916,0142
006b_2433,006b
0068_1488,0068
015a_2752,015a
006a_2243,006a
0142_1848,0142
0039_1852,0039
0049_771,0049
0119_1641,0119
0033_563,0033
0054_1976,0054
0030_2993,0030
0032_2296,0032
006d_2619,006d
0037_2731,0037
0030_2678,0030
0028_2181,0028
004f_474,004f
0067_675,0067
0062_1743,0062
0070_1849,0070
0070_2721,0070
004d_669,004d
0054_274,0054
0067_983,0067
0068_1517,0068
006f_2239,006f
006e_2451,006e
0142_1092,0142
006d_451,006d
201e_2068,201e
0029_479,0029
0142_1310,0142
0069_654,0069
0107_591,0107
0054_1258,0054
0075_1925,0075
017b_1020,017b
0054_1600,0054
006e_1428,006e
017a_985,017a
0142_1897,0142
0042_453,0042
003f_2250,003f
0053_1977,0053
0028_2371,0028
0141_1907,0141
0039_2377,0039
0072_1222,0072
0072_456,0072
0077_2922,0077
0119_735,0119
0048_2297,0048
0048_137,0048
0052_455,0052
0067_2710,0067
0050_2034,0050
004d_2026,004d
006b_1929,006b
006b_300,006b
0073_329,0073
006e_241,006e
0077_2724,0077
0065_827,0065
017a_1845,017a
0057_1325,0057
004d_841,004d
017b_5,017b
0036_549,0036
0046_1865,0046
004d_778,004d
0044_2856,0044
0030_838,0030
0065_1473,0065
0062_1320,0062
006e_675,006e
0028_2341,0028
0077_21,0077
0046_632,0046
004e_1353,004e
201d_1478,201d
0046_2464,0046
0073_2823,0073
0067_1286,0067
201d_177,201d
0054_1935,0054
0037_370,0037
003b_215,003b
0105_2765,0105
0029_1282,0029
0029_1042,0029
0079_2824,0079
004f_2405,004f
0029_1633,0029
0042_32,0042
003a_2975,003a
0070_250,0070
004f_284,004f
0142_1657,0142
0042_2125,0042
0045_2771,0045
0107_8,0107
0041_1895,0041
002d_2690,002d
0141_2576,0141
004f_2150,004f
0045_2638,0045
0065_1634,0065
004c_1676,004c
004c_2429,004c
0043_2806,0043
0075_2741,0075
0046_2097,0046
0118_690,0118
017c_1596,017c
004f_1729,004f
0072_2756,0072
0064_2813,0064
0067_2230,0067
0068_2081,0068
0021_2154,0021
0021_1771,0021
0066_2687,0066
0065_1838,0065
003f_23,003f
0036_58,0036
006e_2613,006e
201e_2342,201e
0074_1007,0074
00f3_1187,00f3
00d3_1153,00d3
0031_1499,0031
003a_1491,003a
004f_695,004f
015b_207,015b
0053_1361,0053
002d_19,002d
0055_2129,0055
0119_153,0119
0049_540,0049
003b_654,003b
0043_176,0043
0065_554,0065
0070_3000,0070
0062_2833,0062
0119_1502,0119
0068_1246,0068
0142_711,0142
0034_806,0034
015b_2545,015b
0045_754,0045
017a_1753,017a
0052_1895,0052
0035_690,0035
0059_894,0059
0061_1193,0061
0119_2392,0119
0036_612,0036
017a_1084,017a
007a_2999,007a
0037_91,0037
0030_592,0030
006b_546,006b
0029_574,0029
003a_2235,003a
0028_1370,0028
006e_2896,006e
201e_1410,201e
0041_2882,0041
0061_2719,0061
0105_2780,0105
006a_181,006a
0059_74,0059
017c_1921,017c
005a_1624,005a
0068_2018,0068
0048_290,0048
0068_1248,0068
0068_1398,0068
004f_1055,004f
0072_711,0072
0055_2080,0055
0141_2429,0141
0107_136,0107
0144_1708,0144
0062_2058,0062
0061_1294,0061
006e_2745,006e
002c_1723,002c
0061_1970,0061
0075_1071,0075
0057_133,0057
0073_2366,0073
0062_315,0062
006c_2008,006c
0065_2183,0065
0075_2888,0075
0055_1191,0055
015b_2503,015b
0069_587,0069
0064_2434,0064
0046_2691,0046
0052_2386,0052
0045_337,0045
004d_2326,004d
004b_2078,004b
0065_847,0065
0068_2688,0068
0043_1045,0043
003f_1174,003f
002d_1153,002d
003f_1443,003f
0054_1097,0054
003d_491,003d
0119_953,0119
006f_1534,006f
004d_2410,004d
005a_281,005a
201e_1309,201e
004f_188,004f
017c_1422,017c
004e_1374,004e
0053_1468,0053
005a_264,005a
0077_1529,0077
0049_1763,0049
0036_1070,0036
0061_1644,0061
0049_588,0049
015b_2453,015b
0042_1524,0042
003d_2766,003d
002c_1191,002c
003f_948,003f
201e_25,201e
0048_878,0048
0042_989,0042
0038_2828,0038
0037_413,0037
0044_430,0044
017b_6,017b
004c_1872,004c
0066_723,0066
0044_1665,0044
0055_998,0055
006f_1147,006f
0036_1092,0036
0049_1329,0049
00f3_2987,00f3
0070_665,0070
0072_2531,0072
003b_1989,003b
0070_1168,0070
0063_2963,0063
0065_169,0065
0057_1561,0057
0079_1658,0079
0045_2101,0045
0041_1325,0041
0067_1938,0067
0079_1431,0079
017a_1662,017a
0038_745,0038
0039_2308,0039
0105_338,0105
0052_2419,0052
0046_393,0046
0075_2638,0075
0047_2571,0047
002c_2273,002c
0036_836,0036
0053_2373,0053
0142_1810,0142
017a_1985,017a
0036_768,0036
0075_1787,0075
007a_1531,007a
0075_797,0075
0030_2168,0030
0055_2696,0055
0048_1994,0048
017c_1966,017c
0072_2561,0072
0105_3,0105
0049_1929,0049
002d_451,002d
003a_910,003a
0043_1265,0043
0054_1599,0054
0074_1105,0074
0144_77,0144
0057_791,0057
006a_1517,006a
017b_755,017b
0119_399,0119
0077_528,0077
004a_2159,004a
0142_1449,0142
0038_229,0038
0030_178,0030
0065_2408,0065
003b_343,003b
015b_2049,015b
004e_376,004e
0107_2725,0107
006b_1440,006b
0036_2360,0036
0048_2889,0048
0033_339,0033
0070_310,0070
0067_1254,0067
0073_23,0073
0039_1175,0039
0043_2355,0043
0105_2253,0105
0107_1517,0107
0141_96,0141
0072_453,0072
0030_2562,0030
0030_2894,0030
0070_263,0070
0047_1861,0047
004b_1187,004b
0073_1843,0073
0068_1865,0068
017b_1300,017b
0045_1686,0045
004d_2083,004d
003b_421,003b
004f_806,004f
0052_156,0052
0142_996,0142
0038_2949,0038
0105_262,0105
0066_1477,0066
0119_1597,0119
0105_607,0105
0043_1223,0043
0070_2932,0070
0029_1797,0029
004b_2436,004b
002d_2979,002d
0069_944,0069
006a_2028,006a
002d_1867,002d
004e_497,004e
003f_2911,003f
006a_916,006a
004a_1210,004a
0062_710,0062
0070_2986,0070
0043_1735,0043
0070_2229,0070
0041_2710,0041
0054_1850,0054
0142_209,0142
006b_594,006b
0034_2357,0034
0055_2798,0055
0077_677,0077
006e_124,006e
0041_2941,0041
015a_1728,015a
0021_953,0021
0077_1831,0077
0061_1714,0061
0063_898,0063
006e_2424,006e
0066_1014,0066
0034_1918,0034
0032_2536,0032
0069_2838,0069
0047_2159,0047
0065_1902,0065
007a_2312,007a
0052_2222,0052
0144_1414,0144
0042_2258,0042
0050_2567,0050
00f3_981,00f3
0070_2937,0070
006b_1503,006b
0072_2684,0072
0029_365,0029
006e_2553,006e
004a_2028,004a
0105_362,0105
003f_2380,003f
0039_304,0039
006a_2142,006a
0036_2455,0036
015b_162,015b
0057_2020,0057
0062_921,0062
0064_1046,0064
0064_215,0064
017c_2178,017c
0034_2168,0034
006c_1839,006c
006d_2146,006d
0067_2961,0067
0031_2411,0031
00d3_854,00d3
0061_1884,0061
017b_1633,017b
0141_1959,0141
0079_2724,0079
005a_1868,005a
0054_1998,0054
0048_2621,0048
0044_136,0044
0119_1946,0119
201d_86,201d
0105_2570,0105
0070_935,0070
006b_184,006b
017c_763,017c
201e_2674,201e
0053_1262,0053
0031_2876,0031
006b_2244,006b
002d_717,002d
0046_214,0046
0062_2404,0062
0030_1522,0030
0053_2423,0053
0046_2716,0046
004d_124,004d
0077_1236,0077
0034_1122,0034
0030_631,0030
0047_1831,0047
0067_1596,0067
0045_2981,0045
002f_1884,002f
201e_615,201e
0066_2691,0066
0037_968,0037
0141_282,0141
0065_1983,0065
0052_415,0052
0069_627,0069
0064_1676,0064
002c_2817,002c
0054_2830,0054
004f_2907,004f
004b_2072,004b
201d_670,201d
017c_2517,017c
0144_1602,0144
0075_277,0075
004a_638,004a
0031_67,0031
0067_2455,0067
005a_199,005a
006d_1541,006d
0061_194,0061
0068_1312,0068
0032_1895,0032
006a_285,006a
0049_317,0049
0041_2101,0041
0079_2381,0079
0034_1569,0034
004b_24,004b
0069_1772,0069
006b_522,006b
005a_2088,005a
0072_2820,0072
015b_1668,015b
0045_57,0045
0028_2339,0028
003f_1040,003f
017a_1018,017a
017a_2035,017a
0032_1923,0032
0066_869,0066
0077_1837,0077
0035_1264,0035
0065_2658,0065
003b_2046,003b
0033_1406,0033
0035_2217,0035
0049_1681,0049
201e_1192,201e
0052_1994,0052
0043_1229,0043
0047_1436,0047
0061_334,0061
0107_1618,0107
0141_1970,0141
0045_1679,0045
006e_2795,006e
0046_1114,0046
0107_179,0107
003d_2357,003d
017a_1299,017a
0050_915,0050
0031_1321,0031
0105_384,0105
0142_1435,0142
015a_1131,015a
0046_1391,0046
0047_2948,0047
0061_1661,0061
0049_2779,0049
0046_2256,0046
006d_1842,006d
0038_1593,0038
0043_992,0043
015b_859,015b
0043_2507,0043
0045_2852,0045
0029_155,0029
015b_1373,015b
0063_1765,0063
0031_2403,0031
004c_2673,004c
0073_1028,0073
0043_803,0043
0043_482,0043
0067_1255,0067
0141_2767,0141
017c_423,017c
0059_1995,0059
017a_570,017a
0036_103,0036
015b_1995,015b
0069_926,0069
0029_2023,0029
0030_2231,0030
0063_764,0063
0073_2083,0073
0061_1274,0061
003b_1660,003b
0045_276,0045
005a_2957,005a
0141_2534,0141
007a_2013,007a
0031_2726,0031
0034_2095,0034
0053_773,0053
003f_2469,003f
006c_974,006c
0047_738,0047
0055_2319,0055
0105_2227,0105
0029_1211,0029
0030_2521,0030
015a_1894,015a
0064_1887,0064
0065_1248,0065
002d_2148,002d
0035_202,0035
0031_420,0031
0031_1966,0031
004f_1741,004f
0066_200,0066
0044_1533,0044
006a_2050,006a
003f_2119,003f
0048_553,0048
003d_2583,003d
0077_2162,0077
0046_2689,0046
0073_2936,0073
0052_1598,0052
0042_849,0042
0043_2019,0043
003f_2030,003f
0029_2229,0029
0055_1131,0055
0075_389,0075
0066_786,0066
0061_1459,0061
0041_757,0041
006c_2459,006c
0072_26,0072
006f_736,006f
0043_2554,0043
0057_391,0057
0077_1843,0077
0042_110,0042
0062_1436,0062
0067_310,0067
0045_604,0045
0072_642,0072
015b_1605,015b
017c_2472,017c
00f3_318,00f3
015a_1034,015a
0107_2291,0107
0049_2469,0049
0079_165,0079
0021_1909,0021
0064_392,0064
0039_706,0039
0050_1191,0050
0142_337,0142
004f_2632,004f
0032_1289,0032
0077_2519,0077
0072_1278,0072
0142_2678,0142
0053_1592,0053
0144_707,0144
0028_750,0028
0073_2268,0073
004e_365,004e
0033_2776,0033
017c_2670,017c
0041_768,0041
0053_1952,0053
003f_2137,003f
003b_1017,003b
006a_2025,006a
017c_1116,017c
0044_1914,0044
017a_290,017a
0069_1133,0069
0052_2106,0052
017c_1938,017c
0073_2724,0073
006a_486,006a
0072_1765,0072
003d_716,003d
0035_2343,0035
004f_2705,004f
0021_1498,0021
004f_1368,004f
0068_2860,0068
0070_2914,0070
0050_719,0050
0074_2032,0074
017b_616,017b
004e_1558,004e
0055_1728,0055
0044_2218,0044
0038_257,0038
0029_2809,0029
004f_1323,004f
004c_1080,004c
0119_2398,0119
0033_318,0033
0070_2322,0070
00f3_2537,00f3
0119_1506,0119
002c_1607,002c
0073_777,0073
201d_1173,201d
006a_943,006a
004e_1407,004e
0050_830,0050
0029_1575,0029
0075_1338,0075
0045_226,0045
0068_1967,0068
0105_959,0105
007a_395,007a
0077_2928,0077
0050_1807,0050
0142_738,0142
006c_594,006c
003f_2459,003f
0028_1893,0028
0144_938,0144
006d_1812,006d
201e_2588,201e
0074_1481,0074
0034_683,0034
0065_536,0065
017a_2655,017a
0068_2060,0068
004f_1751,004f
0057_2225,0057
0053_1570,0053
006e_91,006e
0044_2131,0044
0070_2851,0070
0043_1564,0043
0061_1817,0061
017a_2896,017a
006f_2377,006f
0028_2408,0028
0059_183,0059
0062_654,0062
0044_2963,0044
0072_1140,0072
0030_1820,0030
0044_488,0044
0037_1776,0037
006a_2231,006a
0065_903,0065
0042_777,0042
0054_1789,0054
201e_755,201e
004d_755,004d
0029_358,0029
0068_581,0068
0044_2182,0044
0037_1256,0037
0073_272,0073
003b_2705,003b
004a_2794,004a
0064_2044,0064
0119_398,0119
0054_1754,0054
006c_2149,006c
015a_1804,015a
004e_646,004e
0061_949,0061
0042_2252,0042
0119_2299,0119
004f_2496,004f
0045_2916,0045
004c_2367,004c
0044_2817,0044
002c_1973,002c
004b_1601,004b
017c_1278,017c
0041_751,0041
0030_2120,0030
002f_2400,002f
0044_2104,0044
017a_159,017a
0118_495,0118
0068_770,0068
002f_1926,002f
004e_462,004e
0063_1334,0063
0065_1748,0065
0144_350,0144
004f_849,004f
0119_1184,0119
0034_2123,0034
004a_1223,004a
0077_1061,0077
0077_2052,0077
0028_2400,0028
004f_2693,004f
004d_1791,004d
201e_122,201e
003f_1020,003f
006f_2393,006f
0141_1797,0141
201d_102,201d
0077_2293,0077
0021_2532,0021
0028_1631,0028
0105_1289,0105
017c_1451,017c
0105_2178,0105
0105_865,0105
0066_2984,0066
0049_65,0049
0032_2677,0032
0062_575,0062
0042_1620,0042
004b_1770,004b
0044_2924,0044
0029_376,0029
015b_258,015b
0039_1394,0039
002c_387,002c
0077_1524,0077
0049_2161,0049
0045_1689,0045
0029_1397,0029
00f3_234,00f3
005a_1059,005a
0144_2223,0144
0070_2194,0070
0144_1353,0144
003a_161,003a
0068_1440,0068
0054_679,0054
0034_1440,0034
0075_443,0075
0075_322,0075
00f3_1618,00f3
017a_370,017a
0074_1555,0074
005a_2393,005a
006b_2650,006b
201e_2496,201e
0072_1626,0072
015b_1320,015b
015b_1449,015b
005a_1232,005a
006a_1834,006a
0033_1292,0033
0075_1837,0075
0054_331,0054
0033_83,0033
0057_591,0057
006c_1419,006c
0063_2800,0063
006a_2245,006a
015b_623,015b
006f_1891,006f
002c_1426,002c
0041_2243,0041
0041_2490,0041
0105_2967,0105
0079_1152,0079
0034_1000,0034
0057_214,0057
0141_1584,0141
0065_2033,0065
0061_1532,0061
0062_277,0062
0036_1415,0036
0066_504,0066
0067_359,0067
0030_2793,0030
0029_153,0029
0021_718,0021
0054_1169,0054
004c_1685,004c
0142_1732,0142
006a_926,006a
0119_68,0119
0035_2306,0035
0037_1735,0037
0064_2098,0064
004a_2107,004a
0033_1030,0033
0029_2994,0029
005a_859,005a
00f3_1893,00f3
0037_879,0037
0105_2688,0105
0072_2305,0072
0032_1395,0032
0029_329,0029
0057_168,0057
0065_2860,0065
0034_2345,0034
0062_2168,0062
017a_1312,017a
0029_261,0029
0035_1073,0035
0142_1713,0142
0054_1602,0054
017a_2230,017a
002f_980,002f
004f_2840,004f
0046_2031,0046
003a_925,003a
017a_61,017a
0038_1884,0038
0141_1680,0141
00f3_1044,00f3
0141_7,0141
0032_2465,0032
0074_1700,0074
0031_1256,0031
003a_1732,003a
0077_2386,0077
0043_1966,0043
006d_51,006d
003b_829,003b
0074_2152,0074
0050_1618,0050
015b_2284,015b
0057_1914,0057
0049_851,0049
0055_1748,0055
0105_340,0105
004e_2836,004e
006a_409,006a
002d_32,002d
015a_1970,015a
0041_2836,0041
0057_1931,0057
0066_927,0066
0066_2780,0066
006d_53,006d
0054_593,0054
0073_173,0073
0033_2688,0033
006e_1807,006e
0057_665,0057
0041_2432,0041
017c_1999,017c
0118_284,0118
0037_1033,0037
006e_2752,006e
0041_1695,0041
0055_1025,0055
0032_487,0032
0061_405,0061
0068_2982,0068
0141_2902,0141
0032_462,0032
0031_588,0031
0119_755,0119
0054_699,0054
004c_1545,004c
017a_480,017a
006d_2177,006d
0045_375,0045
0034_561,0034
0144_1399,0144
0052_1188,0052
002f_766,002f
00f3_2251,00f3
002f_2585,002f
005a_757,005a
0075_2244,0075
0066_2252,0066
002f_567,002f
0038_1890,0038
006f_2851,006f
0050_1263,0050
0049_1986,0049
004a_681,004a
0067_767,0067
0072_563,0072
0039_1063,0039
0038_194,0038
0044_2111,0044
004d_2235,004d
0034_1599,0034
0068_2106,0068
0042_676,0042
006e_571,006e
0144_1180,0144
0070_1857,0070
0032_2788,0032
003a_1184,003a
0037_2950,0037
017c_332,017c
0070_2343,0070
006d_397,006d
015b_2580,015b
017b_1544,017b
0141_2226,0141
0047_496,0047
004c_1780,004c
002f_2603,002f
0072_1789,0072
0050_1721,0050
0044_1539,0044
0065_1535,0065
006c_2921,006c
0028_1544,0028
004d_1476,004d
0079_928,0079
007a_2404,007a
015b_668,015b
0142_756,0142
0073_1122,0073
0105_2716,0105
0068_2157,0068
003b_349,003b
0067_756,0067
0041_1706,0041
0048_2630,0048
0029_1306,0029
005a_890,005a
0141_799,0141
0144_2384,0144
0079_2731,0079
0032_1194,0032
0067_1674,0067
0034_1634,0034
0142_1171,0142
00f3_1923,00f3
0031_1973,0031
0074_674,0074
0044_2864,0044
0064_2236,0064
004e_2171,004e
0057_2566,0057
004a_2109,004a
0050_244,0050
0073_701,0073
0048_1178,0048
003f_2096,003f
004e_2136,004e
006e_1527,006e
0057_2392,0057
0142_2144,0142
0031_2230,0031
0048_1370,0048
0105_2031,0105
003a_2016,003a
0032_1931,0032
0074_2397,0074
0068_1646,0068
0046_2572,0046
0057_1181,0057
0038_1205,0038
0054_2625,0054
0065_1479,0065
0065_1883,0065
004e_2487,004e
003b_13,003b
0036_1693,0036
004a_1450,004a
006a_2128,006a
0069_2839,0069
0072_87,0072
0072_2286,0072
0105_2416,0105
0068_3000,0068
0054_1347,0054
0050_421,0050
004f_2498,004f
0059_699,0059
0077_2860,0077
003f_2270,003f
0034_1435,0034
0035_575,0035
0053_1780,0053
003a_1737,003a
0144_1142,0144
004e_192,004e
0037_2772,0037
0061_2964,0061
006f_1743,006f
0073_818,0073
0044_1774,0044
0031_375,0031
002e_342,002e
004f_1056,004f
0028_1199,0028
0053_2789,0053
006d_372,006d
004c_2433,004c
003f_2716,003f
0070_2783,0070
003d_2516,003d
0064_1167,0064
0045_994,0045
004e_2000,004e
0070_192,0070
201e_319,201e
0034_1301,0034
0105_396,0105
004f_497,004f
003f_183,003f
0049_1148,0049
0035_1328,0035
0057_2434,0057
004c_479,004c
0065_1618,0065
0062_1266,0062
201d_194,201d
0050_701,0050
0030_2266,0030
0036_2586,0036
0057_1837,0057
017a_830,017a
003d_228,003d
0063_2092,0063
007a_1798,007a
0105_84,0105
0044_782,0044
0045_1225,0045
003f_2542,003f
0050_160,0050
0037_2319,0037
0070_313,0070
004e_1955,004e
004a_744,004a
201e_1402,201e
0044_2838,0044
004a_608,004a
003b_1915,003b
0062_141,0062
003f_276,003f
0142_875,0142
006d_2440,006d
0052_69,0052
0107_1290,0107
006b_1212,006b
006b_1231,006b
0074_1889,0074
004f_664,004f
0061_138,0061
0069_605,0069
015a_887,015a
017a_551,017a
0049_277,0049
0066_1924,0066
006c_430,006c
0061_689,0061
0049_1818,0049
0059_757,0059
0054_1536,0054
0059_1704,0059
0036_2146,0036
004b_1945,004b
0068_2299,0068
006e_802,006e
0070_143,0070
0048_997,0048
0029_1226,0029
0037_298,0037
0144_2306,0144
0064_1775,0064
201d_1544,201d
002e_2235,002e
0032_851,0032
017a_1560,017a
0045_740,0045
0031_1769,0031
0067_797,0067
0074_1376,0074
00f3_873,00f3
00d3_689,00d3
0042_2009,0042
0043_2603,0043
0068_2944,0068
017b_2223,017b
0105_1652,0105
0039_345,0039
0061_166,0061
015b_166,015b
201e_798,201e
0048_2162,0048
0029_510,0029
0107_586,0107
0057_2522,0057
201d_1240,201d
0033_1805,0033
0059_869,0059
004d_74,004d
0066_1161,0066
0030_322,0030
0077_2547,0077
0028_546,0028
006e_1856,006e
004d_215,004d
0066_804,0066
0067_25,0067
0044_673,0044
0077_159,0077
0047_2230,0047
0073_2616,0073
004f_2160,004f
0055_2496,0055
0053_2616,0053
006b_347,006b
003d_914,003d
0059_470,0059
015b_1051,015b
0038_2101,0038
0030_100,0030
0065_1089,0065
0038_441,0038
0035_1845,0035
0028_1173,0028
0032_1587,0032
0036_2884,0036
006b_1489,006b
0073_1706,0073
0052_1839,0052
0050_1315,0050
0064_1696,0064
0142_2712,0142
0049_483,0049
003a_891,003a
0036_187,0036
0029_2249,0029
0052_2207,0052
0061_1192,0061
0057_692,0057
0059_1991,0059
0055_606,0055
006d_2425,006d
006b_2934,006b
0061_1968,0061
201e_2792,201e
0141_1053,0141
003a_2931,003a
006d_1330,006d
017b_2941,017b
006a_2000,006a
0073_135,0073
002c_2458,002c
0107_845,0107
006c_746,006c
015a_1563,015a
004c_923,004c
002f_2108,002f
0063_278,0063
0072_1050,0072
0075_565,0075
0070_2971,0070
0107_1412,0107
003b_2013,003b
0030_1864,0030
003b_1170,003b
